Seeded run: seed=1
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen02_dynassign/dynassign_seed1
Starting SACRED ATLA training from scratch for 800 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Alternating every 50 episodes.
Initial Phase: Training PROTAGONIST (Adversary FROZEN)

Ep    1 | Phase: PROTAGO | Ticks: 795 | Protag R: -5055.00 | Antag R: 4684.00 | Delivery:  63.2% | Budget Used: 3720.00/4000.0
Ep    2 | Phase: PROTAGO | Ticks: 795 | Protag R: -9072.00 | Antag R: 8701.00 | Delivery:  46.0% | Budget Used: 3720.00/4000.0
Ep    3 | Phase: PROTAGO | Ticks: 795 | Protag R: -8282.00 | Antag R: 7911.00 | Delivery:  56.5% | Budget Used: 3720.00/4000.0
Ep    4 | Phase: PROTAGO | Ticks: 792 | Protag R: -14334.00 | Antag R: 13963.00 | Delivery:  41.1% | Budget Used: 3720.00/4000.0
Ep    5 | Phase: PROTAGO | Ticks: 798 | Protag R: -3808.00 | Antag R: 3473.00 | Delivery:  63.9% | Budget Used: 3360.00/4000.0
Ep    6 | Phase: PROTAGO | Ticks: 786 | Protag R: -4434.00 | Antag R: 4063.00 | Delivery:  64.9% | Budget Used: 3720.00/4000.0
Ep    7 | Phase: PROTAGO | Ticks: 798 | Protag R: -8139.00 | Antag R: 7768.00 | Delivery:  53.8% | Budget Used: 3720.00/4000.0
Ep    8 | Phase: PROTAGO | Ticks: 787 | Protag R: -7550.00 | Antag R: 7179.00 | Delivery:  59.1% | Budget Used: 3720.00/4000.0
Ep    9 | Phase: PROTAGO | Ticks: 775 | Protag R: -9336.00 | Antag R: 8965.00 | Delivery:  51.0% | Budget Used: 3720.00/4000.0
Ep   10 | Phase: PROTAGO | Ticks: 797 | Protag R: -11965.00 | Antag R: 11594.00 | Delivery:  48.1% | Budget Used: 3720.00/4000.0
Ep   11 | Phase: PROTAGO | Ticks: 798 | Protag R: -9636.00 | Antag R: 9264.00 | Delivery:  47.7% | Budget Used: 3720.00/4000.0
Ep   12 | Phase: PROTAGO | Ticks: 785 | Protag R: -12371.00 | Antag R: 12000.00 | Delivery:  39.0% | Budget Used: 3720.00/4000.0
Ep   13 | Phase: PROTAGO | Ticks: 779 | Protag R: -8767.00 | Antag R: 8419.00 | Delivery:  52.2% | Budget Used: 3480.00/4000.0
Ep   14 | Phase: PROTAGO | Ticks: 796 | Protag R: -6043.00 | Antag R: 5683.00 | Delivery:  57.1% | Budget Used: 3600.00/4000.0
Ep   15 | Phase: PROTAGO | Ticks: 780 | Protag R: -12271.00 | Antag R: 11900.00 | Delivery:  47.5% | Budget Used: 3720.00/4000.0
Ep   16 | Phase: PROTAGO | Ticks: 796 | Protag R: -11957.00 | Antag R: 11586.00 | Delivery:  45.3% | Budget Used: 3720.00/4000.0
Ep   17 | Phase: PROTAGO | Ticks: 798 | Protag R: -4628.00 | Antag R: 4257.00 | Delivery:  68.4% | Budget Used: 3720.00/4000.0
Ep   18 | Phase: PROTAGO | Ticks: 787 | Protag R: -7592.00 | Antag R: 7221.00 | Delivery:  49.0% | Budget Used: 3720.00/4000.0
Ep   19 | Phase: PROTAGO | Ticks: 791 | Protag R: -13433.00 | Antag R: 13061.00 | Delivery:  48.3% | Budget Used: 3720.00/4000.0
Ep   20 | Phase: PROTAGO | Ticks: 798 | Protag R: -12233.00 | Antag R: 11874.00 | Delivery:  48.1% | Budget Used: 3600.00/4000.0
Ep   21 | Phase: PROTAGO | Ticks: 792 | Protag R: -5440.00 | Antag R: 5081.00 | Delivery:  70.7% | Budget Used: 3600.00/4000.0
Ep   22 | Phase: PROTAGO | Ticks: 782 | Protag R: -3737.00 | Antag R: 3366.00 | Delivery:  58.5% | Budget Used: 3720.00/4000.0
Ep   23 | Phase: PROTAGO | Ticks: 795 | Protag R: -8415.00 | Antag R: 8043.00 | Delivery:  54.2% | Budget Used: 3720.00/4000.0
Ep   24 | Phase: PROTAGO | Ticks: 776 | Protag R: -4297.00 | Antag R: 3950.00 | Delivery:  70.3% | Budget Used: 3480.00/4000.0
Ep   25 | Phase: PROTAGO | Ticks: 791 | Protag R: -7117.00 | Antag R: 6746.00 | Delivery:  53.5% | Budget Used: 3720.00/4000.0
Ep   26 | Phase: PROTAGO | Ticks: 787 | Protag R: -6949.00 | Antag R: 6578.00 | Delivery:  71.1% | Budget Used: 3720.00/4000.0
Ep   27 | Phase: PROTAGO | Ticks: 780 | Protag R: -7675.00 | Antag R: 7316.00 | Delivery:  55.1% | Budget Used: 3600.00/4000.0
Ep   28 | Phase: PROTAGO | Ticks: 787 | Protag R: -10633.00 | Antag R: 10274.00 | Delivery:  58.7% | Budget Used: 3600.00/4000.0
Ep   29 | Phase: PROTAGO | Ticks: 780 | Protag R: -10431.00 | Antag R: 10060.00 | Delivery:  40.7% | Budget Used: 3720.00/4000.0
Ep   30 | Phase: PROTAGO | Ticks: 799 | Protag R: -7153.00 | Antag R: 6794.00 | Delivery:  47.7% | Budget Used: 3600.00/4000.0
Ep   31 | Phase: PROTAGO | Ticks: 785 | Protag R: -14982.00 | Antag R: 14611.00 | Delivery:  32.8% | Budget Used: 3720.00/4000.0
Ep   32 | Phase: PROTAGO | Ticks: 779 | Protag R: -9145.00 | Antag R: 8774.00 | Delivery:  54.2% | Budget Used: 3720.00/4000.0
Ep   33 | Phase: PROTAGO | Ticks: 775 | Protag R: -16574.00 | Antag R: 16216.00 | Delivery:  29.8% | Budget Used: 3600.00/4000.0
Ep   34 | Phase: PROTAGO | Ticks: 785 | Protag R: -6830.00 | Antag R: 6459.00 | Delivery:  64.3% | Budget Used: 3720.00/4000.0
Ep   35 | Phase: PROTAGO | Ticks: 788 | Protag R: -6849.00 | Antag R: 6477.00 | Delivery:  52.3% | Budget Used: 3720.00/4000.0
Ep   36 | Phase: PROTAGO | Ticks: 791 | Protag R: -5233.00 | Antag R: 4862.00 | Delivery:  63.4% | Budget Used: 3720.00/4000.0
Ep   37 | Phase: PROTAGO | Ticks: 799 | Protag R: -10475.00 | Antag R: 10104.00 | Delivery:  56.5% | Budget Used: 3720.00/4000.0
Ep   38 | Phase: PROTAGO | Ticks: 777 | Protag R: -8678.00 | Antag R: 8307.00 | Delivery:  53.7% | Budget Used: 3720.00/4000.0
Ep   39 | Phase: PROTAGO | Ticks: 797 | Protag R: -14378.00 | Antag R: 14019.00 | Delivery:  42.9% | Budget Used: 3600.00/4000.0
Ep   40 | Phase: PROTAGO | Ticks: 779 | Protag R: -3842.00 | Antag R: 3471.00 | Delivery:  60.5% | Budget Used: 3720.00/4000.0
Ep   41 | Phase: PROTAGO | Ticks: 790 | Protag R: -12570.00 | Antag R: 12199.00 | Delivery:  53.6% | Budget Used: 3720.00/4000.0
Ep   42 | Phase: PROTAGO | Ticks: 785 | Protag R: -11078.00 | Antag R: 10719.00 | Delivery:  56.6% | Budget Used: 3600.00/4000.0
Ep   43 | Phase: PROTAGO | Ticks: 791 | Protag R: -9936.00 | Antag R: 9565.00 | Delivery:  50.9% | Budget Used: 3720.00/4000.0
Ep   44 | Phase: PROTAGO | Ticks: 785 | Protag R: -8720.00 | Antag R: 8349.00 | Delivery:  60.0% | Budget Used: 3720.00/4000.0
Ep   45 | Phase: PROTAGO | Ticks: 783 | Protag R: -7988.00 | Antag R: 7617.00 | Delivery:  55.1% | Budget Used: 3720.00/4000.0
Ep   46 | Phase: PROTAGO | Ticks: 789 | Protag R: -6481.00 | Antag R: 6122.00 | Delivery:  52.5% | Budget Used: 3600.00/4000.0
Ep   47 | Phase: PROTAGO | Ticks: 785 | Protag R: -9110.00 | Antag R: 8738.00 | Delivery:  59.6% | Budget Used: 3720.00/4000.0
Ep   48 | Phase: PROTAGO | Ticks: 782 | Protag R: -8679.00 | Antag R: 8308.00 | Delivery:  52.1% | Budget Used: 3720.00/4000.0
Ep   49 | Phase: PROTAGO | Ticks: 795 | Protag R: -7574.00 | Antag R: 7203.00 | Delivery:  65.3% | Budget Used: 3720.00/4000.0
Ep   50 | Phase: PROTAGO | Ticks: 787 | Protag R: -5437.00 | Antag R: 5065.00 | Delivery:  58.5% | Budget Used: 3720.00/4000.0
  [EVAL ep 50] greedy_atk=9609 learned_atk=9547 gap=-62 +/-532 (neg = learned beats greedy under attack)
Saving checkpoints for both agents before phase switch...

--- Episode 51: Switching training phase to ANTAGONIST ---
Ep   51 | Phase: ANTAGON | Ticks: 797 | Protag R: -7139.00 | Antag R: 6768.00 | Delivery:  55.1% | Budget Used: 3720.00/4000.0
Ep   52 | Phase: ANTAGON | Ticks: 786 | Protag R: -8357.00 | Antag R: 7986.00 | Delivery:  57.1% | Budget Used: 3720.00/4000.0
Ep   53 | Phase: ANTAGON | Ticks: 775 | Protag R: -11529.00 | Antag R: 11158.00 | Delivery:  43.8% | Budget Used: 3720.00/4000.0
