Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Dynassign: forcing --preseed-buffer False (no ERB for the dynamic rung yet).
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen02_dynassign/dynassign_seed1/snapshots/protagonist_ep250.pt (node_in_dim=11).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen03_robustness_dynassign/br_sacred_s1_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep    1 | Phase: ANTAGON | Ticks: 796 | Protag R: -10916.00 | Antag R: 10545.00 | Delivery:  48.9% | Budget Used: 3720.00/4000.0
Ep    2 | Phase: ANTAGON | Ticks: 775 | Protag R: -9951.00 | Antag R: 9580.00 | Delivery:  51.1% | Budget Used: 3720.00/4000.0
Ep    3 | Phase: ANTAGON | Ticks: 790 | Protag R: -11806.00 | Antag R: 11435.00 | Delivery:  54.3% | Budget Used: 3720.00/4000.0
Ep    4 | Phase: ANTAGON | Ticks: 798 | Protag R: -7048.00 | Antag R: 6677.00 | Delivery:  69.8% | Budget Used: 3720.00/4000.0
Ep    5 | Phase: ANTAGON | Ticks: 799 | Protag R: -6971.00 | Antag R: 6599.00 | Delivery:  52.1% | Budget Used: 3720.00/4000.0
Ep    6 | Phase: ANTAGON | Ticks: 776 | Protag R: -11743.00 | Antag R: 11372.00 | Delivery:  40.0% | Budget Used: 3720.00/4000.0
Ep    7 | Phase: ANTAGON | Ticks: 785 | Protag R: -9586.00 | Antag R: 9215.00 | Delivery:  52.1% | Budget Used: 3720.00/4000.0
Ep    8 | Phase: ANTAGON | Ticks: 792 | Protag R: -6907.00 | Antag R: 6536.00 | Delivery:  57.4% | Budget Used: 3720.00/4000.0
Ep    9 | Phase: ANTAGON | Ticks: 791 | Protag R: -9051.00 | Antag R: 8679.00 | Delivery:  57.1% | Budget Used: 3720.00/4000.0
Ep   10 | Phase: ANTAGON | Ticks: 786 | Protag R: -7833.00 | Antag R: 7461.00 | Delivery:  56.0% | Budget Used: 3720.00/4000.0
Ep   11 | Phase: ANTAGON | Ticks: 791 | Protag R: -8714.00 | Antag R: 8343.00 | Delivery:  63.0% | Budget Used: 3720.00/4000.0
