Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Dynassign: forcing --preseed-buffer False (no ERB for the dynamic rung yet).
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen03_robustness_dynassign/vanilla_seed1/snapshots/protagonist_ep700.pt (node_in_dim=13).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen03_robustness_dynassign/br_vanilla_s1_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep    1 | Phase: ANTAGON | Ticks: 793 | Protag R: -8861.00 | Antag R: 8538.00 | Delivery:  48.9% | Budget Used: 3240.00/4000.0
Ep    2 | Phase: ANTAGON | Ticks: 783 | Protag R: -11154.00 | Antag R: 10783.00 | Delivery:  42.6% | Budget Used: 3720.00/4000.0
Ep    3 | Phase: ANTAGON | Ticks: 797 | Protag R: -9690.00 | Antag R: 9319.00 | Delivery:  63.0% | Budget Used: 3720.00/4000.0
Ep    4 | Phase: ANTAGON | Ticks: 787 | Protag R: -8267.00 | Antag R: 7908.00 | Delivery:  62.8% | Budget Used: 3600.00/4000.0
Ep    5 | Phase: ANTAGON | Ticks: 787 | Protag R: -7806.00 | Antag R: 7434.00 | Delivery:  43.8% | Budget Used: 3720.00/4000.0
Ep    6 | Phase: ANTAGON | Ticks: 796 | Protag R: -7585.00 | Antag R: 7214.00 | Delivery:  56.0% | Budget Used: 3720.00/4000.0
Ep    7 | Phase: ANTAGON | Ticks: 785 | Protag R: -6421.00 | Antag R: 6050.00 | Delivery:  60.4% | Budget Used: 3720.00/4000.0
Ep    8 | Phase: ANTAGON | Ticks: 775 | Protag R: -8093.00 | Antag R: 7722.00 | Delivery:  55.3% | Budget Used: 3720.00/4000.0
Ep    9 | Phase: ANTAGON | Ticks: 797 | Protag R: -7812.00 | Antag R: 7440.00 | Delivery:  63.3% | Budget Used: 3720.00/4000.0
Ep   10 | Phase: ANTAGON | Ticks: 792 | Protag R: -8217.00 | Antag R: 7845.00 | Delivery:  56.0% | Budget Used: 3720.00/4000.0
Ep   11 | Phase: ANTAGON | Ticks: 793 | Protag R: -8781.00 | Antag R: 8410.00 | Delivery:  60.9% | Budget Used: 3720.00/4000.0
