Seeded run: seed=2
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen03_robustness_dynassign/vanilla_seed2
Starting SACRED training (mode=vanilla) for 800 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Ep    1 | Phase: PROTAGO | Ticks: 792 | Protag R: -3170.00 | Antag R: 3171.00 | Delivery:  76.2% | Budget Used:  0.00/4000.0
Ep    2 | Phase: PROTAGO | Ticks: 792 | Protag R: -8951.00 | Antag R: 8952.00 | Delivery:  65.3% | Budget Used:  0.00/4000.0
Ep    3 | Phase: PROTAGO | Ticks: 787 | Protag R: -7668.00 | Antag R: 7669.00 | Delivery:  57.4% | Budget Used:  0.00/4000.0
Ep    4 | Phase: PROTAGO | Ticks: 784 | Protag R: -8187.00 | Antag R: 8187.00 | Delivery:  55.6% | Budget Used:  0.00/4000.0
Ep    5 | Phase: PROTAGO | Ticks: 794 | Protag R: -7717.00 | Antag R: 7718.00 | Delivery:  60.8% | Budget Used:  0.00/4000.0
Ep    6 | Phase: PROTAGO | Ticks: 796 | Protag R: -2411.00 | Antag R: 2411.00 | Delivery:  85.3% | Budget Used:  0.00/4000.0
Ep    7 | Phase: PROTAGO | Ticks: 792 | Protag R: -9927.00 | Antag R: 9928.00 | Delivery:  61.5% | Budget Used:  0.00/4000.0
Ep    8 | Phase: PROTAGO | Ticks: 794 | Protag R: -7228.00 | Antag R: 7228.00 | Delivery:  50.0% | Budget Used:  0.00/4000.0
Ep    9 | Phase: PROTAGO | Ticks: 787 | Protag R: -3730.00 | Antag R: 3730.00 | Delivery:  76.9% | Budget Used:  0.00/4000.0
Ep   10 | Phase: PROTAGO | Ticks: 788 | Protag R: -6156.00 | Antag R: 6157.00 | Delivery:  73.8% | Budget Used:  0.00/4000.0
Ep   11 | Phase: PROTAGO | Ticks: 796 | Protag R: -8587.00 | Antag R: 8588.00 | Delivery:  58.8% | Budget Used:  0.00/4000.0
Ep   12 | Phase: PROTAGO | Ticks: 793 | Protag R: -11788.00 | Antag R: 11789.00 | Delivery:  47.0% | Budget Used:  0.00/4000.0
Ep   13 | Phase: PROTAGO | Ticks: 791 | Protag R: -2971.00 | Antag R: 2972.00 | Delivery:  79.5% | Budget Used:  0.00/4000.0
Ep   14 | Phase: PROTAGO | Ticks: 791 | Protag R: -8883.00 | Antag R: 8884.00 | Delivery:  58.2% | Budget Used:  0.00/4000.0
Ep   15 | Phase: PROTAGO | Ticks: 797 | Protag R: -6694.00 | Antag R: 6695.00 | Delivery:  63.3% | Budget Used:  0.00/4000.0
Ep   16 | Phase: PROTAGO | Ticks: 799 | Protag R: -5496.00 | Antag R: 5497.00 | Delivery:  80.0% | Budget Used:  0.00/4000.0
Ep   17 | Phase: PROTAGO | Ticks: 782 | Protag R: -9492.00 | Antag R: 9492.00 | Delivery:  57.4% | Budget Used:  0.00/4000.0
Ep   18 | Phase: PROTAGO | Ticks: 799 | Protag R: -4864.00 | Antag R: 4865.00 | Delivery:  82.1% | Budget Used:  0.00/4000.0
Ep   19 | Phase: PROTAGO | Ticks: 791 | Protag R: -11356.00 | Antag R: 11356.00 | Delivery:  47.0% | Budget Used:  0.00/4000.0
Ep   20 | Phase: PROTAGO | Ticks: 792 | Protag R: -9847.00 | Antag R: 9848.00 | Delivery:  66.0% | Budget Used:  0.00/4000.0
Ep   21 | Phase: PROTAGO | Ticks: 793 | Protag R: -3682.00 | Antag R: 3682.00 | Delivery:  76.9% | Budget Used:  0.00/4000.0
Ep   22 | Phase: PROTAGO | Ticks: 795 | Protag R: -6743.00 | Antag R: 6744.00 | Delivery:  65.3% | Budget Used:  0.00/4000.0
Ep   23 | Phase: PROTAGO | Ticks: 799 | Protag R: -10041.00 | Antag R: 10041.00 | Delivery:  57.7% | Budget Used:  0.00/4000.0
Ep   24 | Phase: PROTAGO | Ticks: 796 | Protag R: -8914.00 | Antag R: 8914.00 | Delivery:  49.2% | Budget Used:  0.00/4000.0
Ep   25 | Phase: PROTAGO | Ticks: 798 | Protag R: -3484.00 | Antag R: 3485.00 | Delivery:  73.2% | Budget Used:  0.00/4000.0
Ep   26 | Phase: PROTAGO | Ticks: 798 | Protag R: -6169.00 | Antag R: 6170.00 | Delivery:  58.2% | Budget Used:  0.00/4000.0
Ep   27 | Phase: PROTAGO | Ticks: 792 | Protag R: -3543.00 | Antag R: 3544.00 | Delivery:  73.2% | Budget Used:  0.00/4000.0
Ep   28 | Phase: PROTAGO | Ticks: 799 | Protag R: -10357.00 | Antag R: 10358.00 | Delivery:  53.6% | Budget Used:  0.00/4000.0
Ep   29 | Phase: PROTAGO | Ticks: 789 | Protag R: -3907.00 | Antag R: 3908.00 | Delivery:  74.4% | Budget Used:  0.00/4000.0
Ep   30 | Phase: PROTAGO | Ticks: 776 | Protag R: -6970.00 | Antag R: 6971.00 | Delivery:  66.0% | Budget Used:  0.00/4000.0
Ep   31 | Phase: PROTAGO | Ticks: 791 | Protag R: -7181.00 | Antag R: 7182.00 | Delivery:  71.1% | Budget Used:  0.00/4000.0
Ep   32 | Phase: PROTAGO | Ticks: 790 | Protag R: -9537.00 | Antag R: 9537.00 | Delivery:  50.8% | Budget Used:  0.00/4000.0
Ep   33 | Phase: PROTAGO | Ticks: 795 | Protag R: -4310.00 | Antag R: 4310.00 | Delivery:  62.2% | Budget Used:  0.00/4000.0
Ep   34 | Phase: PROTAGO | Ticks: 787 | Protag R: -6797.00 | Antag R: 6798.00 | Delivery:  63.8% | Budget Used:  0.00/4000.0
Ep   35 | Phase: PROTAGO | Ticks: 796 | Protag R: -5822.00 | Antag R: 5823.00 | Delivery:  72.1% | Budget Used:  0.00/4000.0
Ep   36 | Phase: PROTAGO | Ticks: 794 | Protag R: -3304.00 | Antag R: 3304.00 | Delivery:  80.6% | Budget Used:  0.00/4000.0
Ep   37 | Phase: PROTAGO | Ticks: 782 | Protag R: -5735.00 | Antag R: 5735.00 | Delivery:  68.9% | Budget Used:  0.00/4000.0
Ep   38 | Phase: PROTAGO | Ticks: 786 | Protag R: -7726.00 | Antag R: 7728.00 | Delivery:  65.3% | Budget Used:  0.00/4000.0
