Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Dynassign: forcing --preseed-buffer False (no ERB for the dynamic rung yet).
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen03_robustness_dynassign/vanilla_seed0/snapshots/protagonist_ep450.pt (node_in_dim=13, edge_in_dim=2).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen04_antag_gate/br_fixed_vanilla_s0_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep    1 | Phase: ANTAGON | Ticks: 792 | Protag R: -9215.00 | Antag R: 8844.00 | Delivery:  53.2% | Budget Used: 3720.00/4000.0
Ep    2 | Phase: ANTAGON | Ticks: 784 | Protag R: -10046.00 | Antag R: 9675.00 | Delivery:  51.1% | Budget Used: 3720.00/4000.0
Ep    3 | Phase: ANTAGON | Ticks: 789 | Protag R: -10304.00 | Antag R: 9933.00 | Delivery:  54.3% | Budget Used: 3720.00/4000.0
Ep    4 | Phase: ANTAGON | Ticks: 791 | Protag R: -9625.00 | Antag R: 9254.00 | Delivery:  46.5% | Budget Used: 3720.00/4000.0
Ep    5 | Phase: ANTAGON | Ticks: 795 | Protag R: -7387.00 | Antag R: 7015.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep    6 | Phase: ANTAGON | Ticks: 777 | Protag R: -8236.00 | Antag R: 7865.00 | Delivery:  52.0% | Budget Used: 3720.00/4000.0
Ep    7 | Phase: ANTAGON | Ticks: 791 | Protag R: -8585.00 | Antag R: 8214.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep    8 | Phase: ANTAGON | Ticks: 780 | Protag R: -7547.00 | Antag R: 7176.00 | Delivery:  57.4% | Budget Used: 3720.00/4000.0
Ep    9 | Phase: ANTAGON | Ticks: 795 | Protag R: -10492.00 | Antag R: 10120.00 | Delivery:  49.0% | Budget Used: 3720.00/4000.0
Ep   10 | Phase: ANTAGON | Ticks: 782 | Protag R: -10329.00 | Antag R: 9957.00 | Delivery:  46.0% | Budget Used: 3720.00/4000.0
Ep   11 | Phase: ANTAGON | Ticks: 778 | Protag R: -9561.00 | Antag R: 9190.00 | Delivery:  54.3% | Budget Used: 3720.00/4000.0
Ep   12 | Phase: ANTAGON | Ticks: 782 | Protag R: -9358.00 | Antag R: 8987.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   13 | Phase: ANTAGON | Ticks: 794 | Protag R: -3569.00 | Antag R: 3198.00 | Delivery:  73.7% | Budget Used: 3720.00/4000.0
Ep   14 | Phase: ANTAGON | Ticks: 782 | Protag R: -11729.00 | Antag R: 11357.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   15 | Phase: ANTAGON | Ticks: 796 | Protag R: -8590.00 | Antag R: 8219.00 | Delivery:  60.9% | Budget Used: 3720.00/4000.0
Ep   16 | Phase: ANTAGON | Ticks: 796 | Protag R: -6559.00 | Antag R: 6188.00 | Delivery:  56.1% | Budget Used: 3720.00/4000.0
Ep   17 | Phase: ANTAGON | Ticks: 799 | Protag R: -10133.00 | Antag R: 9761.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   18 | Phase: ANTAGON | Ticks: 781 | Protag R: -9495.00 | Antag R: 9124.00 | Delivery:  52.3% | Budget Used: 3720.00/4000.0
Ep   19 | Phase: ANTAGON | Ticks: 797 | Protag R: -2870.00 | Antag R: 2498.00 | Delivery:  84.4% | Budget Used: 3720.00/4000.0
Ep   20 | Phase: ANTAGON | Ticks: 780 | Protag R: -6400.00 | Antag R: 6029.00 | Delivery:  63.2% | Budget Used: 3720.00/4000.0
Ep   21 | Phase: ANTAGON | Ticks: 799 | Protag R: -9198.00 | Antag R: 8827.00 | Delivery:  54.9% | Budget Used: 3720.00/4000.0
Ep   22 | Phase: ANTAGON | Ticks: 788 | Protag R: -14428.00 | Antag R: 14057.00 | Delivery:  40.3% | Budget Used: 3720.00/4000.0
