Seeded run: seed=0
Initializing SACRED Stage-2 HYBRID (assignment + next-hop routing, static demand)...
Hybrid: forcing --preseed-buffer False.
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen05_hybrid_matrix/hybrid_vanilla_seed0/snapshots/protagonist_ep375.pt (node_in_dim=13, edge_in_dim=4).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen05_hybrid_matrix/br_vanilla_s0_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep    1 | Phase: ANTAGON | Ticks: 799 | Protag R: -4853.00 | Antag R: 4703.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep    2 | Phase: ANTAGON | Ticks: 799 | Protag R: -4687.00 | Antag R: 4537.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep    3 | Phase: ANTAGON | Ticks: 799 | Protag R: -4761.00 | Antag R: 4611.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep    4 | Phase: ANTAGON | Ticks: 797 | Protag R: -5113.00 | Antag R: 4963.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep    5 | Phase: ANTAGON | Ticks: 796 | Protag R: -5105.00 | Antag R: 4955.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep    6 | Phase: ANTAGON | Ticks: 799 | Protag R: -5509.00 | Antag R: 5359.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep    7 | Phase: ANTAGON | Ticks: 797 | Protag R: -5333.00 | Antag R: 5183.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep    8 | Phase: ANTAGON | Ticks: 796 | Protag R: -5635.00 | Antag R: 5485.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep    9 | Phase: ANTAGON | Ticks: 799 | Protag R: -5125.00 | Antag R: 4975.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   10 | Phase: ANTAGON | Ticks: 799 | Protag R: -4400.00 | Antag R: 4250.00 | Delivery:  62.5% | Budget Used: 1500.00/1500.0
Ep   11 | Phase: ANTAGON | Ticks: 799 | Protag R: -4899.00 | Antag R: 4749.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   12 | Phase: ANTAGON | Ticks: 799 | Protag R: -4954.00 | Antag R: 4804.00 | Delivery:  62.5% | Budget Used: 1500.00/1500.0
Ep   13 | Phase: ANTAGON | Ticks: 799 | Protag R: -5360.00 | Antag R: 5210.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   14 | Phase: ANTAGON | Ticks: 799 | Protag R: -4945.00 | Antag R: 4795.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   15 | Phase: ANTAGON | Ticks: 799 | Protag R: -5081.00 | Antag R: 4931.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   16 | Phase: ANTAGON | Ticks: 799 | Protag R: -4148.00 | Antag R: 3998.00 | Delivery:  62.5% | Budget Used: 1500.00/1500.0
