Seeded run: seed=0
Initializing SACRED Stage-2 HYBRID (assignment + next-hop routing, static demand)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen05_hybrid_matrix/hybrid_scripted_seed0
Starting SACRED training (mode=scripted_adversary) for 400 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Ep    1 | Phase: PROTAGO | Ticks: 799 | Protag R: -5675.00 | Antag R: 5525.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep    2 | Phase: PROTAGO | Ticks: 797 | Protag R: -5785.00 | Antag R: 5635.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep    3 | Phase: PROTAGO | Ticks: 799 | Protag R: -5901.00 | Antag R: 5751.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep    4 | Phase: PROTAGO | Ticks: 799 | Protag R: -5683.00 | Antag R: 5533.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep    5 | Phase: PROTAGO | Ticks: 799 | Protag R: -5453.00 | Antag R: 5303.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep    6 | Phase: PROTAGO | Ticks: 799 | Protag R: -5855.00 | Antag R: 5705.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep    7 | Phase: PROTAGO | Ticks: 798 | Protag R: -5462.00 | Antag R: 5312.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep    8 | Phase: PROTAGO | Ticks: 799 | Protag R: -5539.00 | Antag R: 5389.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep    9 | Phase: PROTAGO | Ticks: 798 | Protag R: -5617.00 | Antag R: 5467.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   10 | Phase: PROTAGO | Ticks: 799 | Protag R: -5618.00 | Antag R: 5468.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   11 | Phase: PROTAGO | Ticks: 798 | Protag R: -5154.00 | Antag R: 5004.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   12 | Phase: PROTAGO | Ticks: 799 | Protag R: -5655.00 | Antag R: 5505.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   13 | Phase: PROTAGO | Ticks: 799 | Protag R: -5695.00 | Antag R: 5545.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   14 | Phase: PROTAGO | Ticks: 799 | Protag R: -5669.00 | Antag R: 5519.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   15 | Phase: PROTAGO | Ticks: 799 | Protag R: -5496.00 | Antag R: 5346.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   16 | Phase: PROTAGO | Ticks: 798 | Protag R: -6113.00 | Antag R: 5963.00 | Delivery:  12.5% | Budget Used: 1500.00/1500.0
Ep   17 | Phase: PROTAGO | Ticks: 798 | Protag R: -5278.00 | Antag R: 5128.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   18 | Phase: PROTAGO | Ticks: 799 | Protag R: -5579.00 | Antag R: 5429.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   19 | Phase: PROTAGO | Ticks: 799 | Protag R: -5739.00 | Antag R: 5589.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   20 | Phase: PROTAGO | Ticks: 799 | Protag R: -5429.00 | Antag R: 5279.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   21 | Phase: PROTAGO | Ticks: 799 | Protag R: -5801.00 | Antag R: 5651.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   22 | Phase: PROTAGO | Ticks: 798 | Protag R: -5190.00 | Antag R: 5040.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   23 | Phase: PROTAGO | Ticks: 799 | Protag R: -5665.00 | Antag R: 5515.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   24 | Phase: PROTAGO | Ticks: 797 | Protag R: -5449.00 | Antag R: 5299.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   25 | Phase: PROTAGO | Ticks: 797 | Protag R: -5797.00 | Antag R: 5647.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Saving checkpoints for both agents before phase switch...
Ep   26 | Phase: PROTAGO | Ticks: 798 | Protag R: -5706.00 | Antag R: 5556.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   27 | Phase: PROTAGO | Ticks: 799 | Protag R: -5645.00 | Antag R: 5495.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   28 | Phase: PROTAGO | Ticks: 799 | Protag R: -5410.00 | Antag R: 5260.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   29 | Phase: PROTAGO | Ticks: 799 | Protag R: -5284.00 | Antag R: 5134.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   30 | Phase: PROTAGO | Ticks: 799 | Protag R: -5502.00 | Antag R: 5352.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   31 | Phase: PROTAGO | Ticks: 799 | Protag R: -5428.00 | Antag R: 5278.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   32 | Phase: PROTAGO | Ticks: 799 | Protag R: -5649.00 | Antag R: 5499.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   33 | Phase: PROTAGO | Ticks: 798 | Protag R: -5604.00 | Antag R: 5454.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   34 | Phase: PROTAGO | Ticks: 799 | Protag R: -4697.00 | Antag R: 4547.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   35 | Phase: PROTAGO | Ticks: 799 | Protag R: -5846.00 | Antag R: 5696.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   36 | Phase: PROTAGO | Ticks: 799 | Protag R: -5429.00 | Antag R: 5279.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   37 | Phase: PROTAGO | Ticks: 798 | Protag R: -5630.00 | Antag R: 5480.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
