Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen06_dynassign_matrix/dynassign_scripted_seed0/snapshots/protagonist_ep450.pt (node_in_dim=13, edge_in_dim=4).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen06_dynassign_matrix/br_scripted_s0_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep    1 | Phase: ANTAGON | Ticks: 783 | Protag R: -8313.00 | Antag R: 7942.00 | Delivery:  57.4% | Budget Used: 3720.00/4000.0
Ep    2 | Phase: ANTAGON | Ticks: 797 | Protag R: -8777.00 | Antag R: 8406.00 | Delivery:  55.3% | Budget Used: 3720.00/4000.0
Ep    3 | Phase: ANTAGON | Ticks: 786 | Protag R: -10289.00 | Antag R: 9930.00 | Delivery:  54.3% | Budget Used: 3600.00/4000.0
Ep    4 | Phase: ANTAGON | Ticks: 795 | Protag R: -11331.00 | Antag R: 10960.00 | Delivery:  41.9% | Budget Used: 3720.00/4000.0
Ep    5 | Phase: ANTAGON | Ticks: 789 | Protag R: -6217.00 | Antag R: 5845.00 | Delivery:  58.3% | Budget Used: 3720.00/4000.0
Ep    6 | Phase: ANTAGON | Ticks: 793 | Protag R: -8027.00 | Antag R: 7656.00 | Delivery:  54.0% | Budget Used: 3720.00/4000.0
Ep    7 | Phase: ANTAGON | Ticks: 795 | Protag R: -7229.00 | Antag R: 6858.00 | Delivery:  58.3% | Budget Used: 3720.00/4000.0
Ep    8 | Phase: ANTAGON | Ticks: 799 | Protag R: -7260.00 | Antag R: 6889.00 | Delivery:  59.6% | Budget Used: 3720.00/4000.0
Ep    9 | Phase: ANTAGON | Ticks: 789 | Protag R: -10286.00 | Antag R: 9914.00 | Delivery:  51.0% | Budget Used: 3720.00/4000.0
Ep   10 | Phase: ANTAGON | Ticks: 796 | Protag R: -9548.00 | Antag R: 9176.00 | Delivery:  46.0% | Budget Used: 3720.00/4000.0
Ep   11 | Phase: ANTAGON | Ticks: 793 | Protag R: -8394.00 | Antag R: 8035.00 | Delivery:  58.7% | Budget Used: 3600.00/4000.0
Ep   12 | Phase: ANTAGON | Ticks: 795 | Protag R: -9050.00 | Antag R: 8715.00 | Delivery:  54.3% | Budget Used: 3360.00/4000.0
Ep   13 | Phase: ANTAGON | Ticks: 788 | Protag R: -5718.00 | Antag R: 5491.00 | Delivery:  60.5% | Budget Used: 2280.00/4000.0
Ep   14 | Phase: ANTAGON | Ticks: 798 | Protag R: -10552.00 | Antag R: 10432.00 | Delivery:  55.6% | Budget Used: 1200.00/4000.0
Ep   15 | Phase: ANTAGON | Ticks: 775 | Protag R: -8963.00 | Antag R: 8652.00 | Delivery:  52.2% | Budget Used: 3120.00/4000.0
Ep   16 | Phase: ANTAGON | Ticks: 785 | Protag R: -5427.00 | Antag R: 5140.00 | Delivery:  63.4% | Budget Used: 2880.00/4000.0
Ep   17 | Phase: ANTAGON | Ticks: 795 | Protag R: -7764.00 | Antag R: 7428.00 | Delivery:  54.2% | Budget Used: 3360.00/4000.0
Ep   18 | Phase: ANTAGON | Ticks: 782 | Protag R: -8353.00 | Antag R: 7994.00 | Delivery:  61.4% | Budget Used: 3600.00/4000.0
Ep   19 | Phase: ANTAGON | Ticks: 785 | Protag R: -3950.00 | Antag R: 3602.00 | Delivery:  78.1% | Budget Used: 3480.00/4000.0
Ep   20 | Phase: ANTAGON | Ticks: 776 | Protag R: -5156.00 | Antag R: 4821.00 | Delivery:  68.4% | Budget Used: 3360.00/4000.0
Ep   21 | Phase: ANTAGON | Ticks: 793 | Protag R: -10745.00 | Antag R: 10386.00 | Delivery:  51.0% | Budget Used: 3600.00/4000.0
Ep   22 | Phase: ANTAGON | Ticks: 789 | Protag R: -13236.00 | Antag R: 12901.00 | Delivery:  45.2% | Budget Used: 3360.00/4000.0
Ep   23 | Phase: ANTAGON | Ticks: 787 | Protag R: -9077.00 | Antag R: 8730.00 | Delivery:  57.1% | Budget Used: 3480.00/4000.0
Ep   24 | Phase: ANTAGON | Ticks: 794 | Protag R: -9448.00 | Antag R: 9101.00 | Delivery:  49.1% | Budget Used: 3480.00/4000.0
Ep   25 | Phase: ANTAGON | Ticks: 793 | Protag R: -4749.00 | Antag R: 4426.00 | Delivery:  96.9% | Budget Used: 3240.00/4000.0
Ep   26 | Phase: ANTAGON | Ticks: 794 | Protag R: -15840.00 | Antag R: 15469.00 | Delivery:  47.5% | Budget Used: 3720.00/4000.0
