Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen06_dynassign_matrix/vanilla_seed0/snapshots/protagonist_ep750.pt (node_in_dim=13, edge_in_dim=4).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen06_dynassign_matrix/br_vanilla_s0_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep    1 | Phase: ANTAGON | Ticks: 798 | Protag R: -9589.00 | Antag R: 9218.00 | Delivery:  53.2% | Budget Used: 3720.00/4000.0
Ep    2 | Phase: ANTAGON | Ticks: 798 | Protag R: -8034.00 | Antag R: 7675.00 | Delivery:  61.7% | Budget Used: 3600.00/4000.0
Ep    3 | Phase: ANTAGON | Ticks: 786 | Protag R: -10664.00 | Antag R: 10293.00 | Delivery:  54.3% | Budget Used: 3720.00/4000.0
Ep    4 | Phase: ANTAGON | Ticks: 796 | Protag R: -7803.00 | Antag R: 7432.00 | Delivery:  60.5% | Budget Used: 3720.00/4000.0
Ep    5 | Phase: ANTAGON | Ticks: 798 | Protag R: -7883.00 | Antag R: 7511.00 | Delivery:  47.9% | Budget Used: 3720.00/4000.0
Ep    6 | Phase: ANTAGON | Ticks: 787 | Protag R: -9782.00 | Antag R: 9411.00 | Delivery:  48.0% | Budget Used: 3720.00/4000.0
Ep    7 | Phase: ANTAGON | Ticks: 795 | Protag R: -8367.00 | Antag R: 7996.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep    8 | Phase: ANTAGON | Ticks: 796 | Protag R: -7331.00 | Antag R: 6960.00 | Delivery:  51.1% | Budget Used: 3720.00/4000.0
Ep    9 | Phase: ANTAGON | Ticks: 786 | Protag R: -10778.00 | Antag R: 10406.00 | Delivery:  46.9% | Budget Used: 3720.00/4000.0
Ep   10 | Phase: ANTAGON | Ticks: 790 | Protag R: -8448.00 | Antag R: 8076.00 | Delivery:  52.0% | Budget Used: 3720.00/4000.0
Ep   11 | Phase: ANTAGON | Ticks: 787 | Protag R: -8774.00 | Antag R: 8403.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   12 | Phase: ANTAGON | Ticks: 778 | Protag R: -9690.00 | Antag R: 9319.00 | Delivery:  50.0% | Budget Used: 3720.00/4000.0
Ep   13 | Phase: ANTAGON | Ticks: 796 | Protag R: -4076.00 | Antag R: 3705.00 | Delivery:  60.5% | Budget Used: 3720.00/4000.0
Ep   14 | Phase: ANTAGON | Ticks: 775 | Protag R: -12047.00 | Antag R: 11675.00 | Delivery:  44.4% | Budget Used: 3720.00/4000.0
Ep   15 | Phase: ANTAGON | Ticks: 789 | Protag R: -7934.00 | Antag R: 7563.00 | Delivery:  56.5% | Budget Used: 3720.00/4000.0
