Seeded run: seed=1
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen06_dynassign_matrix/dynassign_scripted_seed1
Scripted adversary: pathrand
Starting SACRED training (mode=scripted_adversary) for 800 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Ep    1 | Phase: PROTAGO | Ticks: 799 | Protag R: -8031.00 | Antag R: 7660.00 | Delivery:  42.1% | Budget Used: 3720.00/4000.0
Ep    2 | Phase: PROTAGO | Ticks: 797 | Protag R: -12329.00 | Antag R: 11958.00 | Delivery:  28.0% | Budget Used: 3720.00/4000.0
Ep    3 | Phase: PROTAGO | Ticks: 796 | Protag R: -14029.00 | Antag R: 13658.00 | Delivery:  21.7% | Budget Used: 3720.00/4000.0
Ep    4 | Phase: PROTAGO | Ticks: 798 | Protag R: -17985.00 | Antag R: 17614.00 | Delivery:  21.4% | Budget Used: 3720.00/4000.0
Ep    5 | Phase: PROTAGO | Ticks: 797 | Protag R: -10383.00 | Antag R: 10012.00 | Delivery:  27.8% | Budget Used: 3720.00/4000.0
Ep    6 | Phase: PROTAGO | Ticks: 783 | Protag R: -8405.00 | Antag R: 8034.00 | Delivery:  35.1% | Budget Used: 3720.00/4000.0
Ep    7 | Phase: PROTAGO | Ticks: 785 | Protag R: -13984.00 | Antag R: 13613.00 | Delivery:  30.8% | Budget Used: 3720.00/4000.0
Ep    8 | Phase: PROTAGO | Ticks: 787 | Protag R: -12523.00 | Antag R: 12152.00 | Delivery:  25.0% | Budget Used: 3720.00/4000.0
Ep    9 | Phase: PROTAGO | Ticks: 797 | Protag R: -14643.00 | Antag R: 14272.00 | Delivery:  27.5% | Budget Used: 3720.00/4000.0
Ep   10 | Phase: PROTAGO | Ticks: 796 | Protag R: -15782.00 | Antag R: 15411.00 | Delivery:  19.2% | Budget Used: 3720.00/4000.0
Ep   11 | Phase: PROTAGO | Ticks: 775 | Protag R: -13266.00 | Antag R: 12894.00 | Delivery:  20.5% | Budget Used: 3720.00/4000.0
Ep   12 | Phase: PROTAGO | Ticks: 775 | Protag R: -17321.00 | Antag R: 16950.00 | Delivery:  20.3% | Budget Used: 3720.00/4000.0
Ep   13 | Phase: PROTAGO | Ticks: 775 | Protag R: -11541.00 | Antag R: 11169.00 | Delivery:  26.1% | Budget Used: 3720.00/4000.0
Ep   14 | Phase: PROTAGO | Ticks: 788 | Protag R: -11131.00 | Antag R: 10759.00 | Delivery:  33.3% | Budget Used: 3720.00/4000.0
Ep   15 | Phase: PROTAGO | Ticks: 777 | Protag R: -18513.00 | Antag R: 18142.00 | Delivery:  22.0% | Budget Used: 3720.00/4000.0
Ep   16 | Phase: PROTAGO | Ticks: 779 | Protag R: -17932.00 | Antag R: 17561.00 | Delivery:  20.8% | Budget Used: 3720.00/4000.0
Ep   17 | Phase: PROTAGO | Ticks: 799 | Protag R: -10398.00 | Antag R: 10027.00 | Delivery:  28.9% | Budget Used: 3720.00/4000.0
Ep   18 | Phase: PROTAGO | Ticks: 799 | Protag R: -11858.00 | Antag R: 11487.00 | Delivery:  33.3% | Budget Used: 3720.00/4000.0
Ep   19 | Phase: PROTAGO | Ticks: 779 | Protag R: -17676.00 | Antag R: 17304.00 | Delivery:  29.3% | Budget Used: 3720.00/4000.0
Ep   20 | Phase: PROTAGO | Ticks: 790 | Protag R: -18477.00 | Antag R: 18106.00 | Delivery:  21.2% | Budget Used: 3720.00/4000.0
