Seeded run: seed=1
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen06_dynassign_matrix/vanilla_seed1
Starting SACRED training (mode=vanilla) for 800 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Ep    1 | Phase: PROTAGO | Ticks: 779 | Protag R: -3137.00 | Antag R: 3138.00 | Delivery:  78.9% | Budget Used:  0.00/4000.0
Ep    2 | Phase: PROTAGO | Ticks: 796 | Protag R: -7629.00 | Antag R: 7630.00 | Delivery:  58.0% | Budget Used:  0.00/4000.0
Ep    3 | Phase: PROTAGO | Ticks: 787 | Protag R: -6189.00 | Antag R: 6190.00 | Delivery:  69.6% | Budget Used:  0.00/4000.0
Ep    4 | Phase: PROTAGO | Ticks: 793 | Protag R: -11056.00 | Antag R: 11057.00 | Delivery:  57.1% | Budget Used:  0.00/4000.0
Ep    5 | Phase: PROTAGO | Ticks: 799 | Protag R: -2256.00 | Antag R: 2257.00 | Delivery:  83.3% | Budget Used:  0.00/4000.0
Ep    6 | Phase: PROTAGO | Ticks: 795 | Protag R: -3092.00 | Antag R: 3093.00 | Delivery:  75.7% | Budget Used:  0.00/4000.0
Ep    7 | Phase: PROTAGO | Ticks: 797 | Protag R: -8015.00 | Antag R: 8016.00 | Delivery:  57.7% | Budget Used:  0.00/4000.0
Ep    8 | Phase: PROTAGO | Ticks: 796 | Protag R: -5160.00 | Antag R: 5161.00 | Delivery:  72.7% | Budget Used:  0.00/4000.0
Ep    9 | Phase: PROTAGO | Ticks: 790 | Protag R: -7608.00 | Antag R: 7609.00 | Delivery:  62.7% | Budget Used:  0.00/4000.0
Ep   10 | Phase: PROTAGO | Ticks: 798 | Protag R: -8403.00 | Antag R: 8404.00 | Delivery:  61.5% | Budget Used:  0.00/4000.0
Ep   11 | Phase: PROTAGO | Ticks: 793 | Protag R: -5559.00 | Antag R: 5559.00 | Delivery:  70.5% | Budget Used:  0.00/4000.0
Ep   12 | Phase: PROTAGO | Ticks: 792 | Protag R: -10074.00 | Antag R: 10075.00 | Delivery:  54.2% | Budget Used:  0.00/4000.0
Ep   13 | Phase: PROTAGO | Ticks: 790 | Protag R: -6263.00 | Antag R: 6263.00 | Delivery:  65.2% | Budget Used:  0.00/4000.0
Ep   14 | Phase: PROTAGO | Ticks: 787 | Protag R: -5056.00 | Antag R: 5056.00 | Delivery:  71.4% | Budget Used:  0.00/4000.0
Ep   15 | Phase: PROTAGO | Ticks: 785 | Protag R: -11194.00 | Antag R: 11195.00 | Delivery:  54.2% | Budget Used:  0.00/4000.0
Ep   16 | Phase: PROTAGO | Ticks: 780 | Protag R: -9573.00 | Antag R: 9574.00 | Delivery:  58.5% | Budget Used:  0.00/4000.0
Ep   17 | Phase: PROTAGO | Ticks: 796 | Protag R: -2827.00 | Antag R: 2828.00 | Delivery:  81.6% | Budget Used:  0.00/4000.0
Ep   18 | Phase: PROTAGO | Ticks: 790 | Protag R: -6047.00 | Antag R: 6048.00 | Delivery:  62.7% | Budget Used:  0.00/4000.0
Ep   19 | Phase: PROTAGO | Ticks: 790 | Protag R: -12524.00 | Antag R: 12524.00 | Delivery:  51.7% | Budget Used:  0.00/4000.0
Ep   20 | Phase: PROTAGO | Ticks: 795 | Protag R: -10472.00 | Antag R: 10473.00 | Delivery:  61.5% | Budget Used:  0.00/4000.0
Ep   21 | Phase: PROTAGO | Ticks: 795 | Protag R: -4496.00 | Antag R: 4497.00 | Delivery:  78.0% | Budget Used:  0.00/4000.0
Ep   22 | Phase: PROTAGO | Ticks: 793 | Protag R: -3504.00 | Antag R: 3505.00 | Delivery:  63.4% | Budget Used:  0.00/4000.0
Ep   23 | Phase: PROTAGO | Ticks: 791 | Protag R: -6900.00 | Antag R: 6900.00 | Delivery:  60.4% | Budget Used:  0.00/4000.0
Ep   24 | Phase: PROTAGO | Ticks: 792 | Protag R: -2281.00 | Antag R: 2282.00 | Delivery:  83.8% | Budget Used:  0.00/4000.0
