tag,map,range_mult,seed,K,kind,hidden_leth,conceal_reach,n_conceal,phi,R,H,mean_known,eq_static,forgetful_opt,forgetful_cap,forgetful_blind,forgetful_revealed,forgetful_G1,forgetful_G2,forgetful_G_conceal,forgetful_degenerate,persistent_opt,persistent_cap,persistent_blind,persistent_revealed,persistent_G1,persistent_G2,persistent_G_conceal,persistent_degenerate,persistent_blind_arm,persistent_revealed_arm,opt_T10,opt_T20,opt_T40,opt_T80
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5100,1,open,0.4,0.43,0,0.174,26,200,0.3476,0.0322,0.018855,0.17118,0.13984,0.108375,9.078718,5.747772,1.290336,False,0.018344,0.16729,0.140583,0.052502,9.119504,2.862042,2.677666,False,blind_anti_uniform_lanes,revealed_uniform_lanes_anti_top3,0.016812,0.017947,0.018344,0.018628
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5101,1,open,0.4,0.43,0,0.174,26,200,0.3476,0.000484,0.002814,0.012729,0.151246,0.111442,4.522831,39.598513,1.357172,True,0.002759,0.012187,0.151266,0.025664,4.416918,9.301536,5.894096,True,blind_anti_uniform_full,revealed_uniform_lanes_anti_top5,0.002594,0.002689,0.002759,0.002783
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5102,1,open,0.4,0.43,0,0.174,26,200,0.6213,0.020753,0.03511,0.21806,0.282664,0.130805,6.210763,3.725576,2.16096,False,0.034467,0.214956,0.28264,0.113601,6.236601,3.295939,2.488005,False,blind_anti_uniform_full,revealed_uniform_lanes_anti_top2,0.032538,0.033594,0.034467,0.034731
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5100,1,open,0.6,0.43,0,0.174,26,200,0.3476,0.032218,0.021278,0.171289,0.139689,0.108115,8.049883,5.080981,1.292031,False,0.020664,0.167405,0.140431,0.052541,8.10111,2.542575,2.672786,False,blind_anti_uniform_lanes,revealed_uniform_lanes_anti_top3,0.018825,0.020107,0.020664,0.020986
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5101,1,open,0.6,0.43,0,0.174,26,200,0.3476,0.000498,0.002622,0.010212,0.150745,0.111388,3.894214,42.474428,1.353335,True,0.002574,0.009794,0.150766,0.025628,3.804768,9.955964,5.882914,True,blind_anti_uniform_full,revealed_uniform_lanes_anti_top5,0.002429,0.002515,0.002574,0.002596
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5102,1,open,0.6,0.43,0,0.174,26,200,0.6213,0.024601,0.035988,0.218172,0.282231,0.130009,6.062375,3.612571,2.170857,False,0.035329,0.215067,0.282206,0.113074,6.087517,3.200582,2.495756,False,blind_anti_uniform_full,revealed_uniform_lanes_anti_top2,0.033353,0.034465,0.035329,0.035607
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5100,1,open,0.8,0.43,0,0.174,26,200,0.3476,0.032237,0.024386,0.171532,0.13913,0.099166,7.034098,4.066553,1.402998,False,0.023477,0.167655,0.139883,0.052568,7.141295,2.239129,2.660998,False,blind_anti_uniform_lanes,revealed_uniform_lanes_anti_top3,0.020862,0.022581,0.023477,0.023935
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5101,1,open,0.8,0.43,0,0.174,26,200,0.3476,0.000512,0.002626,0.010224,0.150173,0.111289,3.892787,42.374778,1.349391,True,0.002578,0.009805,0.150194,0.0256,3.802952,9.929231,5.866935,True,blind_anti_uniform_full,revealed_uniform_lanes_anti_top5,0.002434,0.00252,0.002578,0.0026
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5102,1,open,0.8,0.43,0,0.174,26,200,0.6213,0.028746,0.037373,0.209139,0.280504,0.128509,5.596004,3.438575,2.182755,False,0.036653,0.206308,0.280479,0.111745,5.62861,3.048703,2.509988,False,blind_anti_uniform_full,revealed_uniform_lanes_anti_top2,0.034495,0.035779,0.036653,0.036974
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5100,1,open,1.0,0.43,0,0.174,26,200,0.3476,0.032257,0.024542,0.171877,0.138966,0.099081,7.003369,4.037188,1.40255,False,0.023646,0.167997,0.139718,0.052682,7.104562,2.227887,2.652129,False,blind_anti_uniform_lanes,revealed_uniform_lanes_anti_top3,0.021048,0.02276,0.023646,0.024097
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5101,1,open,1.0,0.43,0,0.174,26,200,0.3476,0.000526,0.002638,0.010443,0.149587,0.11115,3.958587,42.133232,1.345814,True,0.002591,0.010015,0.149608,0.025607,3.865714,9.884608,5.842406,True,blind_anti_uniform_full,revealed_uniform_lanes_anti_top5,0.002448,0.002533,0.002591,0.002612
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5102,1,open,1.0,0.43,0,0.174,26,200,0.6213,0.03328,0.03955,0.213153,0.28027,0.125572,5.389509,3.175066,2.231938,False,0.03862,0.210209,0.280243,0.109687,5.443032,2.840165,2.554943,False,blind_anti_uniform_full,revealed_uniform_lanes_anti_top2,0.035793,0.037623,0.03862,0.039068
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5100,1,hidden,0.4,0.43,1,0.0748,26,200,0.0,-0.0,0.0,0.030663,0.127004,0.127004,30663275.327637,127004226.951472,1.0,True,0.0,0.030853,0.127015,0.127015,30852711.567999,127015108.816223,1.0,True,blind_anti_uniform_full,revealed_uniform_full_anti,0.0,0.0,0.0,0.0
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5101,1,hidden,0.4,0.43,1,0.0748,26,200,0.0,-0.0,0.0,0.030351,0.121174,0.121174,30351474.90065,121174231.249768,1.0,True,0.0,0.030529,0.12118,0.12118,30528633.875755,121179865.714025,1.0,True,blind_anti_uniform_full,revealed_uniform_full_anti,0.0,0.0,0.0,0.0
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5102,1,hidden,0.4,0.43,1,0.0748,26,200,0.0,-0.0,0.0,0.0,0.0,0.087237,0.000299,0.046042,0.0,True,0.0,0.0,0.087693,0.087693,0.000286,87692941.801345,1.0,True,blind_anti_uniform_lanes,revealed_uniform_lanes_anti,0.0,0.0,0.0,0.0
kgd_gvardeyskx0.7cr0.43,kgd_gvardeysk,0.7,5100,1,hidden,0.6,0.43,1,0.0748,26,200,0.0,-0.0,0.0,0.022302,0.127419,0.127419,22301817.701898,127419219.794788,1.0,True,0.0,0.022544,0.12743,0.12743,22543626.237579,127430361.494587,1.0,True,blind_anti_uniform_full,revealed_uniform_full_anti,0.0,0.0,0.0,0.0
