BR gate (corrected): arena=contested reward_baseline=twin antag_target_entropy=0.5 gamma=0.997; training antagonist vs frozen GREEDY for 300 ep.
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep    1 | Phase: ANTAGON | Ticks: 775 | Protag R: -3782.00 | Antag R: 3434.00 | Delivery:  42.6% | Budget Used: 3480.00/4000.0
Ep    2 | Phase: ANTAGON | Ticks: 789 | Protag R: -4009.00 | Antag R: 3661.00 | Delivery:  48.9% | Budget Used: 3480.00/4000.0
Ep    3 | Phase: ANTAGON | Ticks: 798 | Protag R: -4851.00 | Antag R: 4539.00 | Delivery:  41.3% | Budget Used: 3120.00/4000.0
Ep    4 | Phase: ANTAGON | Ticks: 794 | Protag R: -3843.00 | Antag R: 3555.00 | Delivery:  46.5% | Budget Used: 2880.00/4000.0
Ep    5 | Phase: ANTAGON | Ticks: 791 | Protag R: -5438.00 | Antag R: 5150.00 | Delivery:  25.0% | Budget Used: 2880.00/4000.0
Ep    6 | Phase: ANTAGON | Ticks: 799 | Protag R: -4085.00 | Antag R: 3797.00 | Delivery:  40.0% | Budget Used: 2880.00/4000.0
Ep    7 | Phase: ANTAGON | Ticks: 798 | Protag R: -2513.00 | Antag R: 2201.00 | Delivery:  52.1% | Budget Used: 3120.00/4000.0
Ep    8 | Phase: ANTAGON | Ticks: 775 | Protag R: -4589.00 | Antag R: 4265.00 | Delivery:  36.2% | Budget Used: 3240.00/4000.0
Ep    9 | Phase: ANTAGON | Ticks: 797 | Protag R: -4478.00 | Antag R: 4142.00 | Delivery:  38.8% | Budget Used: 3360.00/4000.0
Ep   10 | Phase: ANTAGON | Ticks: 781 | Protag R: -5079.00 | Antag R: 4779.00 | Delivery:  30.0% | Budget Used: 3000.00/4000.0
Ep   11 | Phase: ANTAGON | Ticks: 787 | Protag R: -4198.00 | Antag R: 3922.00 | Delivery:  43.5% | Budget Used: 2760.00/4000.0
Ep   12 | Phase: ANTAGON | Ticks: 799 | Protag R: -4726.00 | Antag R: 4462.00 | Delivery:  45.7% | Budget Used: 2640.00/4000.0
Ep   13 | Phase: ANTAGON | Ticks: 796 | Protag R: -3470.00 | Antag R: 3134.00 | Delivery:  47.4% | Budget Used: 3360.00/4000.0
Ep   14 | Phase: ANTAGON | Ticks: 799 | Protag R: -4507.00 | Antag R: 4195.00 | Delivery:  40.7% | Budget Used: 3120.00/4000.0
Ep   15 | Phase: ANTAGON | Ticks: 796 | Protag R: -5846.00 | Antag R: 5486.00 | Delivery:  37.0% | Budget Used: 3600.00/4000.0
Ep   16 | Phase: ANTAGON | Ticks: 787 | Protag R: -3288.00 | Antag R: 3000.00 | Delivery:  56.1% | Budget Used: 2880.00/4000.0
Ep   17 | Phase: ANTAGON | Ticks: 797 | Protag R: -4044.00 | Antag R: 3720.00 | Delivery:  35.4% | Budget Used: 3240.00/4000.0
Ep   18 | Phase: ANTAGON | Ticks: 794 | Protag R: -4766.00 | Antag R: 4442.00 | Delivery:  43.2% | Budget Used: 3240.00/4000.0
