BR gate: training antagonist vs frozen GREEDY on hybrid route-reach for 300 ep.
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep    1 | Phase: ANTAGON | Ticks: 502 | Protag R: -1384.00 | Antag R: 1259.00 | Delivery: 100.0% | Budget Used: 1250.00/1500.0
Ep    2 | Phase: ANTAGON | Ticks: 285 | Protag R: -1149.00 | Antag R: 1074.00 | Delivery: 100.0% | Budget Used: 750.00/1500.0
Ep    3 | Phase: ANTAGON | Ticks: 453 | Protag R: -1655.00 | Antag R: 1542.50 | Delivery: 100.0% | Budget Used: 1125.00/1500.0
Ep    4 | Phase: ANTAGON | Ticks: 577 | Protag R: -1923.00 | Antag R: 1798.00 | Delivery: 100.0% | Budget Used: 1250.00/1500.0
Ep    5 | Phase: ANTAGON | Ticks: 485 | Protag R: -2086.00 | Antag R: 1973.50 | Delivery: 100.0% | Budget Used: 1125.00/1500.0
Ep    6 | Phase: ANTAGON | Ticks: 650 | Protag R: -2194.00 | Antag R: 2044.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep    7 | Phase: ANTAGON | Ticks: 728 | Protag R: -2368.00 | Antag R: 2218.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep    8 | Phase: ANTAGON | Ticks: 550 | Protag R: -1933.00 | Antag R: 1808.00 | Delivery: 100.0% | Budget Used: 1250.00/1500.0
Ep    9 | Phase: ANTAGON | Ticks: 416 | Protag R: -1652.00 | Antag R: 1514.50 | Delivery: 100.0% | Budget Used: 1375.00/1500.0
Ep   10 | Phase: ANTAGON | Ticks: 537 | Protag R: -2140.00 | Antag R: 2015.00 | Delivery: 100.0% | Budget Used: 1250.00/1500.0
Ep   11 | Phase: ANTAGON | Ticks: 450 | Protag R: -1189.00 | Antag R: 1064.00 | Delivery: 100.0% | Budget Used: 1250.00/1500.0
Ep   12 | Phase: ANTAGON | Ticks: 525 | Protag R: -1851.00 | Antag R: 1701.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   13 | Phase: ANTAGON | Ticks: 750 | Protag R: -2243.00 | Antag R: 2093.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   14 | Phase: ANTAGON | Ticks: 511 | Protag R: -1983.00 | Antag R: 1833.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   15 | Phase: ANTAGON | Ticks: 550 | Protag R: -1948.00 | Antag R: 1798.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   16 | Phase: ANTAGON | Ticks: 581 | Protag R: -2095.00 | Antag R: 1957.50 | Delivery: 100.0% | Budget Used: 1375.00/1500.0
Ep   17 | Phase: ANTAGON | Ticks: 443 | Protag R: -1611.00 | Antag R: 1511.00 | Delivery: 100.0% | Budget Used: 1000.00/1500.0
Ep   18 | Phase: ANTAGON | Ticks: 291 | Protag R: -1180.00 | Antag R: 1105.00 | Delivery: 100.0% | Budget Used: 750.00/1500.0
Ep   19 | Phase: ANTAGON | Ticks: 425 | Protag R: -1511.00 | Antag R: 1411.00 | Delivery: 100.0% | Budget Used: 1000.00/1500.0
Ep   20 | Phase: ANTAGON | Ticks: 462 | Protag R: -1722.00 | Antag R: 1609.50 | Delivery: 100.0% | Budget Used: 1125.00/1500.0
Ep   21 | Phase: ANTAGON | Ticks: 382 | Protag R: -1424.00 | Antag R: 1324.00 | Delivery: 100.0% | Budget Used: 1000.00/1500.0
Ep   22 | Phase: ANTAGON | Ticks: 577 | Protag R: -1903.00 | Antag R: 1778.00 | Delivery: 100.0% | Budget Used: 1250.00/1500.0
Ep   23 | Phase: ANTAGON | Ticks: 305 | Protag R: -1216.00 | Antag R: 1078.50 | Delivery: 100.0% | Budget Used: 1375.00/1500.0
Ep   24 | Phase: ANTAGON | Ticks: 450 | Protag R: -1675.00 | Antag R: 1550.00 | Delivery: 100.0% | Budget Used: 1250.00/1500.0
Ep   25 | Phase: ANTAGON | Ticks: 425 | Protag R: -1799.00 | Antag R: 1686.50 | Delivery: 100.0% | Budget Used: 1125.00/1500.0
Ep   26 | Phase: ANTAGON | Ticks: 463 | Protag R: -1661.00 | Antag R: 1523.50 | Delivery: 100.0% | Budget Used: 1375.00/1500.0
Ep   27 | Phase: ANTAGON | Ticks: 300 | Protag R: -1218.00 | Antag R: 1105.50 | Delivery: 100.0% | Budget Used: 1125.00/1500.0
Ep   28 | Phase: ANTAGON | Ticks: 389 | Protag R: -1655.00 | Antag R: 1530.00 | Delivery: 100.0% | Budget Used: 1250.00/1500.0
Ep   29 | Phase: ANTAGON | Ticks: 464 | Protag R: -1502.00 | Antag R: 1352.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   30 | Phase: ANTAGON | Ticks: 575 | Protag R: -1651.00 | Antag R: 1513.50 | Delivery: 100.0% | Budget Used: 1375.00/1500.0
Ep   31 | Phase: ANTAGON | Ticks: 527 | Protag R: -1432.00 | Antag R: 1282.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   32 | Phase: ANTAGON | Ticks: 306 | Protag R: -1068.00 | Antag R:  980.50 | Delivery: 100.0% | Budget Used: 875.00/1500.0
Ep   33 | Phase: ANTAGON | Ticks: 550 | Protag R: -1834.00 | Antag R: 1684.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   34 | Phase: ANTAGON | Ticks: 244 | Protag R: -894.00 | Antag R:  806.50 | Delivery: 100.0% | Budget Used: 875.00/1500.0
Ep   35 | Phase: ANTAGON | Ticks: 533 | Protag R: -1428.00 | Antag R: 1278.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   36 | Phase: ANTAGON | Ticks: 553 | Protag R: -1861.00 | Antag R: 1723.50 | Delivery: 100.0% | Budget Used: 1375.00/1500.0
Ep   37 | Phase: ANTAGON | Ticks: 243 | Protag R: -896.00 | Antag R:  808.50 | Delivery: 100.0% | Budget Used: 875.00/1500.0
Ep   38 | Phase: ANTAGON | Ticks: 478 | Protag R: -1410.00 | Antag R: 1260.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   39 | Phase: ANTAGON | Ticks: 463 | Protag R: -1815.00 | Antag R: 1665.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   40 | Phase: ANTAGON | Ticks: 600 | Protag R: -2234.00 | Antag R: 2084.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   41 | Phase: ANTAGON | Ticks: 358 | Protag R: -1242.00 | Antag R: 1129.50 | Delivery: 100.0% | Budget Used: 1125.00/1500.0
Ep   42 | Phase: ANTAGON | Ticks: 425 | Protag R: -1093.00 | Antag R:  980.50 | Delivery: 100.0% | Budget Used: 1125.00/1500.0
Ep   43 | Phase: ANTAGON | Ticks: 400 | Protag R: -1072.00 | Antag R:  984.50 | Delivery: 100.0% | Budget Used: 875.00/1500.0
Ep   44 | Phase: ANTAGON | Ticks: 412 | Protag R: -1634.00 | Antag R: 1521.50 | Delivery: 100.0% | Budget Used: 1125.00/1500.0
Ep   45 | Phase: ANTAGON | Ticks: 680 | Protag R: -1982.00 | Antag R: 1832.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   46 | Phase: ANTAGON | Ticks: 603 | Protag R: -2036.00 | Antag R: 1886.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   47 | Phase: ANTAGON | Ticks: 650 | Protag R: -2196.00 | Antag R: 2046.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   48 | Phase: ANTAGON | Ticks: 500 | Protag R: -1380.00 | Antag R: 1230.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   49 | Phase: ANTAGON | Ticks: 600 | Protag R: -1557.00 | Antag R: 1444.50 | Delivery: 100.0% | Budget Used: 1125.00/1500.0
Ep   50 | Phase: ANTAGON | Ticks: 525 | Protag R: -1642.00 | Antag R: 1529.50 | Delivery: 100.0% | Budget Used: 1125.00/1500.0
Saving checkpoints for both agents before phase switch...
Ep   51 | Phase: ANTAGON | Ticks: 667 | Protag R: -2519.00 | Antag R: 2394.00 | Delivery: 100.0% | Budget Used: 1250.00/1500.0
Ep   52 | Phase: ANTAGON | Ticks: 443 | Protag R: -1263.00 | Antag R: 1125.50 | Delivery: 100.0% | Budget Used: 1375.00/1500.0
Ep   53 | Phase: ANTAGON | Ticks: 689 | Protag R: -2432.00 | Antag R: 2282.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   54 | Phase: ANTAGON | Ticks: 400 | Protag R: -1203.00 | Antag R: 1053.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   55 | Phase: ANTAGON | Ticks: 484 | Protag R: -1761.00 | Antag R: 1623.50 | Delivery: 100.0% | Budget Used: 1375.00/1500.0
Ep   56 | Phase: ANTAGON | Ticks: 363 | Protag R: -1391.00 | Antag R: 1266.00 | Delivery: 100.0% | Budget Used: 1250.00/1500.0
Ep   57 | Phase: ANTAGON | Ticks: 303 | Protag R: -1065.00 | Antag R:  965.00 | Delivery: 100.0% | Budget Used: 1000.00/1500.0
Ep   58 | Phase: ANTAGON | Ticks: 500 | Protag R: -1633.00 | Antag R: 1508.00 | Delivery: 100.0% | Budget Used: 1250.00/1500.0
Ep   59 | Phase: ANTAGON | Ticks: 581 | Protag R: -1975.00 | Antag R: 1825.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   60 | Phase: ANTAGON | Ticks: 300 | Protag R: -1074.00 | Antag R:  999.00 | Delivery: 100.0% | Budget Used: 750.00/1500.0
Ep   61 | Phase: ANTAGON | Ticks: 525 | Protag R: -1666.00 | Antag R: 1553.50 | Delivery: 100.0% | Budget Used: 1125.00/1500.0
Ep   62 | Phase: ANTAGON | Ticks: 475 | Protag R: -1721.00 | Antag R: 1583.50 | Delivery: 100.0% | Budget Used: 1375.00/1500.0
Ep   63 | Phase: ANTAGON | Ticks: 550 | Protag R: -1978.00 | Antag R: 1853.00 | Delivery: 100.0% | Budget Used: 1250.00/1500.0
Ep   64 | Phase: ANTAGON | Ticks: 450 | Protag R: -1637.00 | Antag R: 1499.50 | Delivery: 100.0% | Budget Used: 1375.00/1500.0
Ep   65 | Phase: ANTAGON | Ticks: 777 | Protag R: -2515.00 | Antag R: 2365.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   66 | Phase: ANTAGON | Ticks: 411 | Protag R: -1425.00 | Antag R: 1275.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   67 | Phase: ANTAGON | Ticks: 478 | Protag R: -1969.00 | Antag R: 1869.00 | Delivery: 100.0% | Budget Used: 1000.00/1500.0
Ep   68 | Phase: ANTAGON | Ticks: 534 | Protag R: -1278.00 | Antag R: 1128.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   69 | Phase: ANTAGON | Ticks: 525 | Protag R: -1572.00 | Antag R: 1459.50 | Delivery: 100.0% | Budget Used: 1125.00/1500.0
Ep   70 | Phase: ANTAGON | Ticks: 606 | Protag R: -2380.00 | Antag R: 2230.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   71 | Phase: ANTAGON | Ticks: 383 | Protag R: -1643.00 | Antag R: 1518.00 | Delivery: 100.0% | Budget Used: 1250.00/1500.0
Ep   72 | Phase: ANTAGON | Ticks: 368 | Protag R: -1510.00 | Antag R: 1360.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   73 | Phase: ANTAGON | Ticks: 494 | Protag R: -1768.00 | Antag R: 1618.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   74 | Phase: ANTAGON | Ticks: 475 | Protag R: -1717.00 | Antag R: 1604.50 | Delivery: 100.0% | Budget Used: 1125.00/1500.0
Ep   75 | Phase: ANTAGON | Ticks: 777 | Protag R: -2390.00 | Antag R: 2240.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   76 | Phase: ANTAGON | Ticks: 582 | Protag R: -2084.00 | Antag R: 1959.00 | Delivery: 100.0% | Budget Used: 1250.00/1500.0
Ep   77 | Phase: ANTAGON | Ticks: 575 | Protag R: -2008.00 | Antag R: 1870.50 | Delivery: 100.0% | Budget Used: 1375.00/1500.0
Ep   78 | Phase: ANTAGON | Ticks: 375 | Protag R: -1635.00 | Antag R: 1535.00 | Delivery: 100.0% | Budget Used: 1000.00/1500.0
Ep   79 | Phase: ANTAGON | Ticks: 431 | Protag R: -1222.00 | Antag R: 1072.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   80 | Phase: ANTAGON | Ticks: 611 | Protag R: -1989.00 | Antag R: 1839.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   81 | Phase: ANTAGON | Ticks: 375 | Protag R: -1527.00 | Antag R: 1377.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   82 | Phase: ANTAGON | Ticks: 362 | Protag R: -1478.00 | Antag R: 1390.50 | Delivery: 100.0% | Budget Used: 875.00/1500.0
Ep   83 | Phase: ANTAGON | Ticks: 615 | Protag R: -1997.00 | Antag R: 1859.50 | Delivery: 100.0% | Budget Used: 1375.00/1500.0
Ep   84 | Phase: ANTAGON | Ticks: 481 | Protag R: -1608.00 | Antag R: 1470.50 | Delivery: 100.0% | Budget Used: 1375.00/1500.0
Ep   85 | Phase: ANTAGON | Ticks: 706 | Protag R: -2321.00 | Antag R: 2183.50 | Delivery: 100.0% | Budget Used: 1375.00/1500.0
Ep   86 | Phase: ANTAGON | Ticks: 689 | Protag R: -1864.00 | Antag R: 1714.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
Ep   87 | Phase: ANTAGON | Ticks: 604 | Protag R: -1710.00 | Antag R: 1560.00 | Delivery: 100.0% | Budget Used: 1500.00/1500.0
